activity_id,parent_id,area_id,parent_name,name,position
815,52,60,Executive Functions,Reasoning,4
816,49,50,Visuospatial Skills,Spatial Relation,1
816,52,55,Executive Functions,Inhibition,2
816,52,59,Executive Functions,Planning,3
816,14,21,Attention,Processing Speed,4
817,52,53,Executive Functions,Working M.,1
817,14,16,Attention,Sustained Attention,2
818,11,12,Cognitive Functions,Social Cognition,1
819,52,59,Executive Functions,Planning,1
819,14,21,Attention,Processing Speed,2
819,49,50,Visuospatial Skills,Spatial Relation,3
819,14,16,Attention,Sustained Attention,4
820,14,15,Attention,Selective Attention,1
820,13,34,Memory,Semantic Memory,2
821,14,21,Attention,Processing Speed,1
821,52,59,Executive Functions,Planning,2
821,52,53,Executive Functions,Working M.,3
822,52,53,Executive Functions,Working M.,1
822,13,35,Memory,Episodic Memory,2
824,14,15,Attention,Selective Attention,1
824,14,16,Attention,Sustained Attention,2
824,14,21,Attention,Processing Speed,3
824,52,53,Executive Functions,Working M.,4
824,3,65,Areas of Occupation,Leisure,5
825,14,21,Attention,Processing Speed,1
825,52,59,Executive Functions,Planning,2
825,52,53,Executive Functions,Working M.,3
827,14,15,Attention,Selective Attention,1
828,52,53,Executive Functions,Working M.,1
828,52,55,Executive Functions,Inhibition,2
828,14,23,Attention,Hemineglect,3
828,14,16,Attention,Sustained Attention,4
829,52,53,Executive Functions,Working M.,1
830,14,15,Attention,Selective Attention,1
830,14,23,Attention,Hemineglect,2
833,13,34,Memory,Semantic Memory,2
833,14,16,Attention,Sustained Attention,2
833,52,60,Executive Functions,Reasoning,3
833,13,35,Memory,Episodic Memory,4
833,5,70,Instrumental ADL's,Cooking and Cleaning,5
834,52,53,Executive Functions,Working M.,1
834,52,55,Executive Functions,Inhibition,2
834,14,23,Attention,Hemineglect,3
834,14,16,Attention,Sustained Attention,4
836,52,59,Executive Functions,Planning,1
836,14,21,Attention,Processing Speed,2
836,14,16,Attention,Sustained Attention,3
836,14,23,Attention,Hemineglect,4
836,14,15,Attention,Selective Attention,5
837,52,60,Executive Functions,Reasoning,1
837,13,34,Memory,Semantic Memory,2
838,49,50,Visuospatial Skills,Spatial Relation,1
839,14,21,Attention,Processing Speed,1
839,14,16,Attention,Sustained Attention,2
839,52,53,Executive Functions,Working M.,3
839,52,59,Executive Functions,Planning,4
840,14,15,Attention,Selective Attention,1
840,14,16,Attention,Sustained Attention,2
841,13,34,Memory,Semantic Memory,1
841,24,32,Language,Reading,2
842,14,16,Attention,Sustained Attention,1
842,49,50,Visuospatial Skills,Spatial Relation,2
842,14,15,Attention,Selective Attention,3
842,14,23,Attention,Hemineglect,4
845,13,34,Memory,Semantic Memory,1
846,24,29,Language,Vocabulary,1
846,14,23,Attention,Hemineglect,2
846,52,53,Executive Functions,Working M.,3
847,24,29,Language,Vocabulary,1
847,52,53,Executive Functions,Working M.,2
848,14,21,Attention,Processing Speed,1
848,14,15,Attention,Selective Attention,2
850,13,34,Memory,Semantic Memory,1
850,24,32,Language,Reading,2
851,24,29,Language,Vocabulary,1
855,52,53,Executive Functions,Working M.,1
855,52,60,Executive Functions,Reasoning,2
855,52,59,Executive Functions,Planning,3
855,52,57,Executive Functions,Flexibility,4
857,13,34,Memory,Semantic Memory,1
857,14,15,Attention,Selective Attention,2
866,14,21,Attention,Processing Speed,1
866,14,16,Attention,Sustained Attention,2
867,14,15,Attention,Selective Attention,1
867,42,43,Gnosis,Visual Gnosis,2
869,42,43,Gnosis,Visual Gnosis,1
869,14,15,Attention,Selective Attention,2
872,13,35,Memory,Episodic Memory,1
872,52,53,Executive Functions,Working M.,2
872,14,15,Attention,Selective Attention,3
875,24,31,Language,Discrimination,1
878,14,16,Attention,Sustained Attention,1
881,49,50,Visuospatial Skills,Spatial Relation,1
881,52,55,Executive Functions,Inhibition,2
881,52,59,Executive Functions,Planning,3
881,14,21,Attention,Processing Speed,4
885,52,59,Executive Functions,Planning,1
885,14,21,Attention,Processing Speed,2
885,52,55,Executive Functions,Inhibition,3
887,52,60,Executive Functions,Reasoning,1
887,14,16,Attention,Sustained Attention,2
887,13,34,Memory,Semantic Memory,3
887,13,35,Memory,Episodic Memory,4
887,5,70,Instrumental ADL's,Cooking and Cleaning,5
890,52,53,Executive Functions,Working M.,1
890,52,59,Executive Functions,Planning,2
890,5,72,Instrumental ADL's,Shopping,3
900,14,21,Attention,Processing Speed,1
900,14,15,Attention,Selective Attention,2
902,52,59,Executive Functions,Planning,1
902,14,15,Attention,Selective Attention,2
902,3,4,Areas of Occupation,Education,3
905,42,43,Gnosis,Visual Gnosis,1
905,14,15,Attention,Selective Attention,2
909,14,16,Attention,Sustained Attention,1
930,14,16,Attention,Sustained Attention,1
935,14,16,Attention,Sustained Attention,1
938,14,16,Attention,Sustained Attention,1
954,14,16,Attention,Sustained Attention,1
957,14,16,Attention,Sustained Attention,1
959,14,16,Attention,Sustained Attention,1
960,14,16,Attention,Sustained Attention,1
963,14,16,Attention,Sustained Attention,1
968,14,16,Attention,Sustained Attention,1
975,52,53,Executive Functions,Working M.,1
975,14,16,Attention,Sustained Attention,2
978,14,22,Attention,Alternating Attention,1
978,52,55,Executive Functions,Inhibition,2
978,14,16,Attention,Sustained Attention,3
978,14,15,Attention,Selective Attention,4
989,49,50,Visuospatial Skills,Spatial Relation,1
993,14,21,Attention,Processing Speed,1
993,14,16,Attention,Sustained Attention,2
1001,14,15,Attention,Selective Attention,1
1001,42,43,Gnosis,Visual Gnosis,2
1001,14,16,Attention,Sustained Attention,3
1004,14,21,Attention,Processing Speed,1
1004,42,43,Gnosis,Visual Gnosis,2
1007,24,31,Language,Discrimination,1
1008,14,21,Attention,Processing Speed,1
1008,42,43,Gnosis,Visual Gnosis,2
1008,14,16,Attention,Sustained Attention,3
1016,13,35,Memory,Episodic Memory,1
1016,42,44,Gnosis,Auditory Gnosis,2
1019,11,12,Cognitive Functions,Social Cognition,1
1020,11,12,Cognitive Functions,Social Cognition,1
1022,11,12,Cognitive Functions,Social Cognition,1
1025,14,16,Attention,Sustained Attention,1
1028,14,15,Attention,Selective Attention,1
1029,14,15,Attention,Selective Attention,1
1029,42,44,Gnosis,Auditory Gnosis,2
1029,13,34,Memory,Semantic Memory,3
1035,52,60,Executive Functions,Reasoning,1
1040,52,57,Executive Functions,Flexibility,1
1040,52,59,Executive Functions,Planning,2
1046,14,16,Attention,Sustained Attention,1
1046,14,21,Attention,Processing Speed,2
1049,42,44,Gnosis,Auditory Gnosis,1
1049,5,70,Instrumental ADL's,Cooking and Cleaning,2
1053,14,16,Attention,Sustained Attention,1
1055,14,16,Attention,Sustained Attention,1
1058,14,16,Attention,Sustained Attention,1
1059,14,16,Attention,Sustained Attention,1
1061,14,16,Attention,Sustained Attention,1
1064,14,16,Attention,Sustained Attention,1
1065,14,16,Attention,Sustained Attention,1
1065,14,15,Attention,Selective Attention,2
1067,14,16,Attention,Sustained Attention,1
1070,14,16,Attention,Sustained Attention,1
1071,14,16,Attention,Sustained Attention,1
1077,14,16,Attention,Sustained Attention,1
1085,52,61,Executive Functions,Decision Making,1
1085,52,59,Executive Functions,Planning,2
1085,42,48,Gnosis,Body Schema,3
1085,8,62,Basic ADL's,Dressing,4
1086,14,16,Attention,Sustained Attention,1
1086,14,15,Attention,Selective Attention,2
1092,14,16,Attention,Sustained Attention,1
1092,14,15,Attention,Selective Attention,2
1094,14,16,Attention,Sustained Attention,1
1094,14,15,Attention,Selective Attention,2
1097,14,16,Attention,Sustained Attention,1
1097,14,15,Attention,Selective Attention,2
1100,14,16,Attention,Sustained Attention,1
1100,14,15,Attention,Selective Attention,2
1103,14,16,Attention,Sustained Attention,1
1103,14,15,Attention,Selective Attention,2
1106,14,16,Attention,Sustained Attention,1
1106,14,15,Attention,Selective Attention,2
1109,14,16,Attention,Sustained Attention,1
1109,14,15,Attention,Selective Attention,2
1112,14,16,Attention,Sustained Attention,1
1112,14,15,Attention,Selective Attention,2
1113,14,16,Attention,Sustained Attention,1
1113,14,15,Attention,Selective Attention,2
1115,14,16,Attention,Sustained Attention,1
1115,14,15,Attention,Selective Attention,2
1116,14,16,Attention,Sustained Attention,1
1116,14,15,Attention,Selective Attention,2
1119,14,16,Attention,Sustained Attention,1
1119,14,15,Attention,Selective Attention,2
1121,14,16,Attention,Sustained Attention,1
1121,14,15,Attention,Selective Attention,2
1122,14,16,Attention,Sustained Attention,1
1122,14,15,Attention,Selective Attention,2
1124,14,16,Attention,Sustained Attention,1
1124,14,15,Attention,Selective Attention,2
1127,14,16,Attention,Sustained Attention,1
1127,14,15,Attention,Selective Attention,2
1130,14,16,Attention,Sustained Attention,1
1130,14,15,Attention,Selective Attention,2
1131,14,16,Attention,Sustained Attention,1
1131,14,15,Attention,Selective Attention,2
1137,14,16,Attention,Sustained Attention,1
1137,14,22,Attention,Alternating Attention,2
1148,52,61,Executive Functions,Decision Making,1
1148,52,59,Executive Functions,Planning,2
1148,42,48,Gnosis,Body Schema,3
1148,8,62,Basic ADL's,Dressing,4
1154,52,53,Executive Functions,Working M.,1
1154,52,59,Executive Functions,Planning,2
1154,5,72,Instrumental ADL's,Shopping,3
1155,14,16,Attention,Sustained Attention,1
1155,14,22,Attention,Alternating Attention,2
1157,52,55,Executive Functions,Inhibition,1
1157,14,21,Attention,Processing Speed,2
1157,14,16,Attention,Sustained Attention,3
1160,24,29,Language,Vocabulary,2
1160,52,53,Executive Functions,Working M.,3
1160,14,23,Attention,Hemineglect,3
1163,42,43,Gnosis,Visual Gnosis,1
1163,14,15,Attention,Selective Attention,2
1170,14,16,Attention,Sustained Attention,1
1170,14,22,Attention,Alternating Attention,2
1174,14,16,Attention,Sustained Attention,1
1174,14,22,Attention,Alternating Attention,2
1177,14,16,Attention,Sustained Attention,1
1177,14,22,Attention,Alternating Attention,2
1179,14,16,Attention,Sustained Attention,1
1179,14,22,Attention,Alternating Attention,2
1180,14,16,Attention,Sustained Attention,1
1180,14,22,Attention,Alternating Attention,2
1183,14,16,Attention,Sustained Attention,1
1183,14,22,Attention,Alternating Attention,2
1186,14,16,Attention,Sustained Attention,1
1186,14,22,Attention,Alternating Attention,2
1191,14,16,Attention,Sustained Attention,1
1191,14,22,Attention,Alternating Attention,2
1194,14,16,Attention,Sustained Attention,1
1194,14,22,Attention,Alternating Attention,2
1198,14,16,Attention,Sustained Attention,1
1198,14,22,Attention,Alternating Attention,2
1201,14,16,Attention,Sustained Attention,1
1201,14,22,Attention,Alternating Attention,2
1203,14,16,Attention,Sustained Attention,1
1203,14,22,Attention,Alternating Attention,2
1206,14,16,Attention,Sustained Attention,1
1206,14,22,Attention,Alternating Attention,2
1207,14,16,Attention,Sustained Attention,1
1207,14,22,Attention,Alternating Attention,2
1210,14,16,Attention,Sustained Attention,1
1210,14,22,Attention,Alternating Attention,2
1213,14,16,Attention,Sustained Attention,1
1213,14,22,Attention,Alternating Attention,2
1215,14,16,Attention,Sustained Attention,1
1215,14,22,Attention,Alternating Attention,2
1216,14,16,Attention,Sustained Attention,1
1216,14,22,Attention,Alternating Attention,2
1221,14,16,Attention,Sustained Attention,1
1221,52,54,Executive Functions,Dual Execution,2
1224,14,16,Attention,Sustained Attention,1
1224,52,54,Executive Functions,Dual Execution,2
1230,14,16,Attention,Sustained Attention,1
1230,52,54,Executive Functions,Dual Execution,2
1241,14,16,Attention,Sustained Attention,1
1241,52,54,Executive Functions,Dual Execution,2
1247,14,16,Attention,Sustained Attention,1
1247,52,54,Executive Functions,Dual Execution,2
1248,14,16,Attention,Sustained Attention,1
1248,52,54,Executive Functions,Dual Execution,2
1256,14,16,Attention,Sustained Attention,1
1256,52,54,Executive Functions,Dual Execution,2
1257,14,16,Attention,Sustained Attention,1
1257,52,54,Executive Functions,Dual Execution,2
1259,14,16,Attention,Sustained Attention,1
1259,52,54,Executive Functions,Dual Execution,2
1262,14,16,Attention,Sustained Attention,1
1262,52,54,Executive Functions,Dual Execution,2
1263,14,16,Attention,Sustained Attention,1
1263,52,54,Executive Functions,Dual Execution,2
1277,14,22,Attention,Alternating Attention,1
1277,52,55,Executive Functions,Inhibition,2
1283,42,48,Gnosis,Body Schema,1
1284,13,35,Memory,Episodic Memory,1
1284,52,59,Executive Functions,Planning,2
1294,14,21,Attention,Processing Speed,1
1294,42,43,Gnosis,Visual Gnosis,2
1296,14,21,Attention,Processing Speed,1
1296,14,22,Attention,Alternating Attention,2
1296,52,55,Executive Functions,Inhibition,3
1296,52,53,Executive Functions,Working M.,4
1302,14,15,Attention,Selective Attention,1
1308,14,15,Attention,Selective Attention,1
1314,13,34,Memory,Semantic Memory,1
1344,13,34,Memory,Semantic Memory,1
1350,52,53,Executive Functions,Working M.,1
1356,14,23,Attention,Hemineglect,1
1356,14,15,Attention,Selective Attention,2
1356,24,32,Language,Reading,3
1362,24,29,Language,Vocabulary,1
1368,13,34,Memory,Semantic Memory,1
1374,13,34,Memory,Semantic Memory,1
1380,52,56,Executive Functions,Time Estimation,1
1380,52,59,Executive Functions,Planning,2
1383,52,53,Executive Functions,Working M.,1
1383,13,34,Memory,Semantic Memory,2
1383,24,32,Language,Reading,3
1389,13,35,Memory,Episodic Memory,1
1389,49,50,Visuospatial Skills,Spatial Relation,2
1398,14,15,Attention,Selective Attention,1
1402,14,15,Attention,Selective Attention,1
1406,52,53,Executive Functions,Working M.,1
1406,52,55,Executive Functions,Inhibition,2
1406,14,23,Attention,Hemineglect,3
1406,14,16,Attention,Sustained Attention,4
1417,11,12,Cognitive Functions,Social Cognition,1
1417,24,29,Language,Vocabulary,2
1421,11,12,Cognitive Functions,Social Cognition,1
1423,11,12,Cognitive Functions,Social Cognition,1
1427,42,48,Gnosis,Body Schema,1
1431,42,48,Gnosis,Body Schema,1
1435,42,48,Gnosis,Body Schema,1
1438,42,48,Gnosis,Body Schema,1
1441,52,59,Executive Functions,Planning,1
1441,14,16,Attention,Sustained Attention,2
1444,52,59,Executive Functions,Planning,1
1444,14,16,Attention,Sustained Attention,2
1447,42,43,Gnosis,Visual Gnosis,1
1447,14,15,Attention,Selective Attention,2
1450,42,43,Gnosis,Visual Gnosis,1
1450,14,15,Attention,Selective Attention,2
1453,13,35,Memory,Episodic Memory,1
1453,52,53,Executive Functions,Working M.,2
1456,13,35,Memory,Episodic Memory,1
1456,52,53,Executive Functions,Working M.,2
1459,13,35,Memory,Episodic Memory,1
1459,52,55,Executive Functions,Inhibition,2
1462,13,35,Memory,Episodic Memory,1
1465,13,35,Memory,Episodic Memory,1
1465,52,53,Executive Functions,Working M.,2
1467,52,53,Executive Functions,Working M.,1
1467,52,55,Executive Functions,Inhibition,2
1467,14,23,Attention,Hemineglect,3
1467,14,16,Attention,Sustained Attention,4
1470,13,35,Memory,Episodic Memory,1
1470,52,53,Executive Functions,Working M.,2
1473,24,31,Language,Discrimination,1
1475,13,35,Memory,Episodic Memory,1
1475,49,50,Visuospatial Skills,Spatial Relation,2
1478,13,35,Memory,Episodic Memory,1
1478,52,59,Executive Functions,Planning,2
1481,14,22,Attention,Alternating Attention,1
1481,52,55,Executive Functions,Inhibition,2
1481,14,16,Attention,Sustained Attention,3
1481,14,15,Attention,Selective Attention,4
1482,11,12,Cognitive Functions,Social Cognition,1
1483,11,12,Cognitive Functions,Social Cognition,1
1483,24,29,Language,Vocabulary,2
1488,52,57,Executive Functions,Flexibility,1
1488,52,59,Executive Functions,Planning,2
1491,11,12,Cognitive Functions,Social Cognition,1
1497,11,12,Cognitive Functions,Social Cognition,1
